Year,All,Fatal,Total,Aboard,Flight.Hours
1975,3995,633,1252,1231,28799000
1976,4018,658,1216,1203,30476000
1977,4079,661,1276,1265,31578000
1978,4216,719,1556,1398,34887000
1979,3818,631,1221,1203,38641000
1980,3590,618,1239,1230,36402000
1981,3500,654,1282,1261,36803000
1982,3233,591,1187,1171,29640000
1983,3075,555,1068,1061,28673000
1984,3017,545,1042,1021,29099000
1985,2739,498,956,945,28322000
1986,2581,474,967,879,27073000
1987,2494,446,837,822,26972000
1988,2388,460,797,792,27446000
1989,2242,432,769,766,27920000
1990,2242,444,770,765,28510000
1991,2197,439,800,786,27678000
1992,2110,450,866,864,24780000
1993,2064,401,744,740,22796000
1994,2021,404,730,723,22235000
1995,2056,412,734,727,24906000
1996,1908,361,636,619,24881000
1997,1840,350,631,625,25591000
1998,1902,364,624,618,25518000
1999,1905,340,621,615,29246000
2000,1837,345,596,585,27838000
2001,1727,325,562,558,25431000
2002,1716,345,581,575,25545000
2003,1741,352,633,630,25998000
2004,1619,314,559,559,24888000
2005,1671,321,563,558,23168000
2006,1523,308,706,547,23963000
2007,1654,288,496,491,23819000
2008,1568,277,496,487,22805000
2009,1480,275,479,470,20862000
2010,1440,271,458,455,21688000
2012,1470,272,437,437,20881000
2013,1224,222,391,386,19492000
2014,1221,253,419,410,18103000
